Q2,-7.33,14.30,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1,-10.40,15.56,90.00,10K,ERA-1AEB3401C_0201
R10,12.95,10.22,270.00,3K3,ERA-1AEB3401C_0201
R11,12.95,8.45,270.00,3K3,ERA-1AEB3401C_0201
R12,-3.23,-13.14,270.00,10K,ERA-1AEB3401C_0201
R13,-14.45,-13.22,270.00,10K,ERA-1AEB3401C_0201
R14,7.58,-13.17,270.00,10K,ERA-1AEB3401C_0201
R15,-0.08,-10.34,180.00,0,ERA-1AEB3401C_0201
R2,-11.61,15.74,180.00,0.47,ERA-1AEB3401C_0201
R3,-6.02,12.45,270.00,2.2,ERA-1AEB3401C_0201
R4,-12.26,15.74,0.00,2.2,ERA-1AEB3401C_0201
R5,13.41,-1.66,270.00,10K,ERA-1AEB3401C_0201
R6,12.95,9.63,270.00,0,ERA-1AEB3401C_0201
R7,12.95,9.04,270.00,0,ERA-1AEB3401C_0201
R8,2.63,9.26,180.00,5K1,ERA-1AEB3401C_0201
R9,-1.26,9.38,0.00,5K1,ERA-1AEB3401C_0201
SJ1,-13.72,14.87,270.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1,-1.21,-14.68,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2,-12.26,-14.68,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3,9.69,-14.68,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,18.68,-14.52,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP10,-22.04,-9.75,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP11,-22.05,-12.37,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP12,16.14,14.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP13,20.00,9.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,14.32,-13.53,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP3,16.94,-12.78,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP4,14.42,-16.17,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP5,16.85,-15.83,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP6,13.59,15.25,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP7,19.79,11.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP8,10.89,15.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP9,18.34,13.86,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$20,-2.77,9.34,270.00,4.7u,NORDIC_NRF_3_RESC0201_L
U$22,-4.20,-5.32,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
U$31,1.42,-0.77,180.00,NORDIC_NRF_4_NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U$4,4.60,-5.55,90.00,15n,NORDIC_NRF_2_RESC0402_L
U$5,16.60,-0.35,270.00,,NORDIC_NRF_2_RESC0402_L
U$8,5.55,-5.55,270.00,10u,NORDIC_NRF_2_RESC0402_L
U1,-11.25,-10.02,0.00,ESP32_C6_LIBRARY_MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,7.73,-0.65,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
