Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,HEIGHT,JLCPCB,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TP_SIGNAL_NAME,VALUE
2,10u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,"C11, C17","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
1,10u,NORDIC_NRF_2_INDUCTOR_0402_L,NORDIC_NRF_2_RESC0402_L,U$8,"Generic chip inductor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12p,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C27, C28","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15n,NORDIC_NRF_2_INDUCTOR_0402_L,NORDIC_NRF_2_RESC0402_L,U$4,"Generic chip inductor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1u,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N,"C1, C2, C6, C10","Check availability",,,"In Stock",https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda,,"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ",,,,,,,,Murata,,,,GRM011R60J152KE01L,"0201 Murata",,None,,,https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap,,,,
10,1u/50V,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C38, C39, C40, C41, C42, C43, C44, C45, C46, C47","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.2,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,"R3, R4","7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN,"SW1, SW2, SW3",,,,,,"Copyright (C) 2025 Ultra Librarian. All rights reserved.",,P123437TR-ND,P123437CT-ND,P123437DKR-ND,,,Panasonic,EVP-AKE31A,,,,,,,,,,,,,,,
1,20V/4.2A/52mO/1.4W,ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,Q2,"P-channel MOSFETs",,,,,,,,,,,,,,,,,,,,,,TRAN-14388,,,,,,20V/4.2A/52mO/1.4W
2,22u,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,"C12, C13","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
